1,Stephen Curry,32
2,Bradley Beal,31.3
3,Damian Lillard,28.8
4,Joel Embiid,28.5
5,Giannis Antetokounmpo,28.1
6,Luka Don?i?,27.7
7,Zach LaVine,27.4
8,Zion Williamson,27
9,Kyrie Irving,26.9
10,Nikola Joki?,26.4
11,Donovan Mitchell,26.4
12,Jayson Tatum,26.4
13,Devin Booker,25.6
14,Trae Young,25.3
15,De'Aaron Fox,25.2
16,Kawhi Leonard,24.8
17,Jaylen Brown,24.7
18,Collin Sexton,24.3
19,Julius Randle,24.1
20,Brandon Ingram,23.8
21,Nikola Vu?evi?,23.4
22,Paul George,23.3
23,Jerami Grant,22.3
24,Russell Westbrook,22.2
25,DeMar DeRozan,21.6
26,Jimmy Butler,21.5
27,Pascal Siakam,21.4
28,Malcolm Brogdon,21.2
29,Khris Middleton,20.4
30,Terry Rozier,20.4
31,Domantas Sabonis,20.3
32,Fred VanVleet,19.6
33,Tobias Harris,19.5
34,Anthony Edwards,19.3
35,Ja Morant,19.1
36,Michael Porter Jr.,19
37,Bam Adebayo,18.7
38,Norman Powell,18.6
39,Andrew Wiggins,18.6
40,Jordan Clarkson,18.4
41,Jrue Holiday,17.7
42,RJ Barrett,17.6
43,John Collins,17.6
44,Darius Garland,17.4
45,Dillon Brooks,17.2
46,Jonas Valan?i?nas,17.1
47,Bojan Bogdanovi?,17
48,Tim Hardaway Jr.,16.6
49,Buddy Hield,16.6
50,Chris Paul,16.4
